,day,time,sex,size,smoker,total_bill,tip,tip(%)
92,Fri,Dinner,Female,2,Yes,5.75,1.0,17.39
93,Fri,Dinner,Female,2,Yes,16.32,4.3,26.35
94,Fri,Dinner,Female,2,No,22.75,3.25,14.29
95,Fri,Dinner,Male,4,Yes,40.17,4.73,11.77
96,Fri,Dinner,Male,2,Yes,27.28,4.0,14.66
97,Fri,Dinner,Male,2,Yes,12.03,1.5,12.47
98,Fri,Dinner,Male,2,Yes,21.01,3.0,14.28
99,Fri,Dinner,Male,2,No,12.46,1.5,12.04
100,Fri,Dinner,Female,2,Yes,11.35,2.5,22.03
101,Fri,Dinner,Female,2,Yes,15.38,3.0,19.51
102,Sat,Dinner,Female,3,Yes,44.3,2.5,5.64
103,Sat,Dinner,Female,2,Yes,22.42,3.48,15.52
104,Sat,Dinner,Female,2,No,20.92,4.08,19.5
105,Sat,Dinner,Male,2,Yes,15.36,1.64,10.68
106,Sat,Dinner,Male,2,Yes,20.49,4.06,19.81
107,Sat,Dinner,Male,2,Yes,25.21,4.29,17.02
108,Sat,Dinner,Male,2,No,18.24,3.76,20.61
109,Sat,Dinner,Female,2,Yes,14.31,4.0,27.95
110,Sat,Dinner,Male,2,No,14.0,3.0,21.43
111,Sat,Dinner,Female,1,No,7.25,1.0,13.79
112,Sun,Dinner,Male,3,No,38.07,4.0,10.51
113,Sun,Dinner,Male,2,No,23.95,2.55,10.65
114,Sun,Dinner,Female,3,No,25.71,4.0,15.56
115,Sun,Dinner,Female,2,No,17.31,3.5,20.22
116,Sun,Dinner,Male,4,No,29.93,5.07,16.94
117,Thur,Lunch,Female,2,No,10.65,1.5,14.08
118,Thur,Lunch,Female,2,No,12.43,1.8,14.48
119,Thur,Lunch,Female,4,No,24.08,2.92,12.13
120,Thur,Lunch,Male,2,No,11.69,2.31,19.76
121,Thur,Lunch,Female,2,No,13.42,1.68,12.52
122,Thur,Lunch,Male,2,No,14.26,2.5,17.53
123,Thur,Lunch,Male,2,No,15.95,2.0,12.54
124,Thur,Lunch,Female,2,No,12.48,2.52,20.19
125,Thur,Lunch,Female,6,No,29.8,4.2,14.09
126,Thur,Lunch,Male,2,No,8.52,1.48,17.37
127,Thur,Lunch,Female,2,No,14.52,2.0,13.77
128,Thur,Lunch,Female,2,No,11.38,2.0,17.57
129,Thur,Lunch,Male,3,No,22.82,2.18,9.55
130,Thur,Lunch,Male,2,No,19.08,1.5,7.86
131,Thur,Lunch,Female,2,No,20.27,2.83,13.96
132,Thur,Lunch,Female,2,No,11.17,1.5,13.43
133,Thur,Lunch,Female,2,No,12.26,2.0,16.31
134,Thur,Lunch,Female,2,No,18.26,3.25,17.8
135,Thur,Lunch,Female,2,No,8.51,1.25,14.69
136,Thur,Lunch,Female,2,No,10.33,2.0,19.36
137,Thur,Lunch,Female,2,No,14.15,2.0,14.13
138,Thur,Lunch,Male,2,Yes,16.0,2.0,12.5
139,Thur,Lunch,Female,2,No,13.16,2.75,20.9
140,Thur,Lunch,Female,2,No,17.47,3.5,20.03
141,Thur,Lunch,Male,6,No,34.3,6.7,19.53
142,Thur,Lunch,Male,5,No,41.19,5.0,12.14
143,Thur,Lunch,Female,6,No,27.05,5.0,18.48
144,Thur,Lunch,Female,2,No,16.43,2.3,14.0
145,Thur,Lunch,Female,2,No,8.35,1.5,17.96
146,Thur,Lunch,Female,3,No,18.64,1.36,7.3
147,Thur,Lunch,Female,2,No,11.87,1.63,13.73
148,Thur,Lunch,Male,2,No,9.78,1.73,17.69
149,Thur,Lunch,Male,2,No,7.51,2.0,26.63
150,Sun,Dinner,Male,2,No,14.07,2.5,17.77
151,Sun,Dinner,Male,2,No,13.13,2.0,15.23
152,Sun,Dinner,Male,3,No,17.26,2.74,15.87
153,Sun,Dinner,Male,4,No,24.55,2.0,8.15
154,Sun,Dinner,Male,4,No,19.77,2.0,10.12
155,Sun,Dinner,Female,5,No,29.85,5.14,17.22
156,Sun,Dinner,Male,6,No,48.17,5.0,10.38
157,Sun,Dinner,Female,4,No,25.0,3.75,15.0
158,Sun,Dinner,Female,2,No,13.39,2.61,19.49
159,Sun,Dinner,Male,4,No,16.49,2.0,12.13
160,Sun,Dinner,Male,4,No,21.5,3.5,16.28
161,Sun,Dinner,Male,2,No,12.66,2.5,19.75
162,Sun,Dinner,Female,3,No,16.21,2.0,12.34
163,Sun,Dinner,Male,2,No,13.81,2.0,14.48
164,Sun,Dinner,Female,2,Yes,17.51,3.0,17.13
165,Sun,Dinner,Male,3,No,24.52,3.48,14.19
166,Sun,Dinner,Male,2,No,20.76,2.24,10.79
167,Sun,Dinner,Male,4,No,31.71,4.5,14.19
168,Sat,Dinner,Female,2,Yes,10.59,1.61,15.2
169,Sat,Dinner,Female,2,Yes,10.63,2.0,18.81
170,Sat,Dinner,Male,3,Yes,50.81,10.0,19.68
171,Sat,Dinner,Male,2,Yes,15.81,3.16,19.99
173,Sun,Dinner,Male,2,Yes,31.85,3.18,9.98
174,Sun,Dinner,Male,2,Yes,16.82,4.0,23.78
175,Sun,Dinner,Male,2,Yes,32.9,3.11,9.45
176,Sun,Dinner,Male,2,Yes,17.89,2.0,11.18
177,Sun,Dinner,Male,2,Yes,14.48,2.0,13.81
178,Sun,Dinner,Female,2,Yes,9.6,4.0,41.67
179,Sun,Dinner,Male,2,Yes,34.63,3.55,10.25
180,Sun,Dinner,Male,4,Yes,34.65,3.68,10.62
181,Sun,Dinner,Male,2,Yes,23.33,5.65,24.22
182,Sun,Dinner,Male,3,Yes,45.35,3.5,7.72
183,Sun,Dinner,Male,4,Yes,23.17,6.5,28.05
184,Sun,Dinner,Male,2,Yes,40.55,3.0,7.4
185,Sun,Dinner,Male,5,No,20.69,5.0,24.17
186,Sun,Dinner,Female,3,Yes,20.9,3.5,16.75
187,Sun,Dinner,Male,5,Yes,30.46,2.0,6.57
188,Sun,Dinner,Female,3,Yes,18.15,3.5,19.28
189,Sun,Dinner,Male,3,Yes,23.1,4.0,17.32
190,Sun,Dinner,Male,2,Yes,15.69,1.5,9.56
191,Thur,Lunch,Female,2,Yes,19.81,4.19,21.15
192,Thur,Lunch,Male,2,Yes,28.44,2.56,9.0
193,Thur,Lunch,Male,2,Yes,15.48,2.02,13.05
194,Thur,Lunch,Male,2,Yes,16.58,4.0,24.13
195,Thur,Lunch,Male,2,No,7.56,1.44,19.05
196,Thur,Lunch,Male,2,Yes,10.34,2.0,19.34
197,Thur,Lunch,Female,4,Yes,43.11,5.0,11.6
198,Thur,Lunch,Female,2,Yes,13.0,2.0,15.38
199,Thur,Lunch,Male,2,Yes,13.51,2.0,14.8
200,Thur,Lunch,Male,3,Yes,18.71,4.0,21.38
201,Thur,Lunch,Female,2,Yes,12.74,2.01,15.78
202,Thur,Lunch,Female,2,Yes,13.0,2.0,15.38
203,Thur,Lunch,Female,2,Yes,16.4,2.5,15.24
204,Thur,Lunch,Male,4,Yes,20.53,4.0,19.48
205,Thur,Lunch,Female,3,Yes,16.47,3.23,19.61
206,Sat,Dinner,Male,3,Yes,26.59,3.41,12.82
207,Sat,Dinner,Male,4,Yes,38.73,3.0,7.75
208,Sat,Dinner,Male,2,Yes,24.27,2.03,8.36
209,Sat,Dinner,Female,2,Yes,12.76,2.23,17.48
210,Sat,Dinner,Male,3,Yes,30.06,2.0,6.65
211,Sat,Dinner,Male,4,Yes,25.89,5.16,19.93
212,Sat,Dinner,Male,4,No,48.33,9.0,18.62
213,Sat,Dinner,Female,2,Yes,13.27,2.5,18.84
214,Sat,Dinner,Female,3,Yes,28.17,6.5,23.07
215,Sat,Dinner,Female,2,Yes,12.9,1.1,8.53
216,Sat,Dinner,Male,5,Yes,28.15,3.0,10.66
217,Sat,Dinner,Male,2,Yes,11.59,1.5,12.94
218,Sat,Dinner,Male,2,Yes,7.74,1.44,18.6
219,Sat,Dinner,Female,4,Yes,30.14,3.09,10.25
220,Fri,Lunch,Male,2,Yes,12.16,2.2,18.09
221,Fri,Lunch,Female,2,Yes,13.42,3.48,25.93
222,Fri,Lunch,Male,1,Yes,8.58,1.92,22.38
223,Fri,Lunch,Female,3,No,15.98,3.0,18.77
224,Fri,Lunch,Male,2,Yes,13.42,1.58,11.77
225,Fri,Lunch,Female,2,Yes,16.27,2.5,15.37
226,Fri,Lunch,Female,2,Yes,10.09,2.0,19.82
227,Sat,Dinner,Male,4,No,20.45,3.0,14.67
228,Sat,Dinner,Male,2,No,13.28,2.72,20.48
229,Sat,Dinner,Female,2,Yes,22.12,2.88,13.02
230,Sat,Dinner,Male,4,Yes,24.01,2.0,8.33
231,Sat,Dinner,Male,3,Yes,15.69,3.0,19.12
232,Sat,Dinner,Male,2,No,11.61,3.39,29.2
233,Sat,Dinner,Male,2,No,10.77,1.47,13.65
234,Sat,Dinner,Male,2,Yes,15.53,3.0,19.32
235,Sat,Dinner,Male,2,No,10.07,1.25,12.41
236,Sat,Dinner,Male,2,Yes,12.6,1.0,7.94
237,Sat,Dinner,Male,2,Yes,32.83,1.17,3.56
238,Sat,Dinner,Female,3,No,35.83,4.67,13.03
239,Sat,Dinner,Male,3,No,29.03,5.92,20.39
240,Sat,Dinner,Female,2,Yes,27.18,2.0,7.36
241,Sat,Dinner,Male,2,Yes,22.67,2.0,8.82
242,Sat,Dinner,Male,2,No,17.82,1.75,9.82
243,Thur,Dinner,Female,2,No,18.78,3.0,15.97
